NO;KODE;KODETEXT;NAMAKAB; Padi-Padian ;Umbi-Umbian;Ikan;Daging;Telur dan Susu;"Sayur-
Sayuran";Kacang-Kacangan;"Buah-
buahan";"Minyak dan
Lemak";Bahan Minuman;Bumbu-Bunbuan;Konsumsi Lainnya;Makanan dan Minuman Jadi;Tembakau dan Sirih;IPM;Label Class
1;3501;pacitankab;Pacitan;13.38;1.412710488;4.888048194;3.858379423;5.977753562;11.19147974;3.510084915;4.846516027;3.786417748;4.845488003;2.779982318;2.304007237;29.75204063;7.464276168;71.49;Tinggi
2;3502;ponorogokab;Ponorogo;11.74;1.568240882;3.817546375;4.07903934;5.29922036;9.868984676;3.06568689;5.380589659;3.444753114;3.150819966;2.048032978;2.159691729;33.71915046;10.65382203;73.7;Tinggi
3;3503;trenggalekkab;Trenggalek;15.18;0.985133871;6.051193316;3.573238164;5.848919437;10.05301178;2.837842439;4.194879867;4.318647449;3.542796947;1.790223963;1.384074036;30.42038921;9.816691801;72.47;Tinggi
4;3504;tulungagungkab;Tulungagung;11.89;1.218477207;6.306579373;4.375639886;6.949664565;10.18849687;2.526875202;5.11773898;3.306357097;3.343739897;1.988865988;2.173590904;28.00257975;12.61080127;75.13;Tinggi
5;3505;blitarkab;Blitar;10.54;0.974777276;3.713988199;3.44498438;5.606270971;10.16487331;2.673647268;5.409965675;4.157699873;3.800570789;1.536889197;2.667090902;34.32777971;10.97689845;73.44;Tinggi
6;3506;kedirikab;Kediri;12.65;1.198707565;3.951802219;4.582427387;5.528538388;9.132977019;3.242175657;4.750825097;3.528382464;3.608943096;2.072227372;2.2773538;31.9146577;11.5568992;75.18;Tinggi
7;3507;malangkab;Malang;12;1.130389362;4.467059419;4.207506497;5.413740295;8.604219797;3.252092999;5.270298898;3.030219722;3.370791968;2.191888041;1.946566058;31.49500866;13.61900865;73.53;Tinggi
8;3508;lumajangkab;Lumajang;11.95;1.443270857;7.749755142;5.678479209;4.043634805;7.85618489;3.166458908;5.174294364;2.818788398;3.323947111;2.482108672;2.193983172;31.59433154;10.52652814;70.31;Tinggi
9;3509;jemberkab;Jember;14.53;1.003620132;6.097813862;4.24100239;4.707226206;8.235976381;3.772494025;4.921446647;3.569872065;3.004533952;2.129902995;2.274532546;28.98706594;12.52108815;70.93;Tinggi
10;3510;banyuwangikab;Banyuwangi;12.47;0.750864707;5.98514445;4.04266305;4.363506855;9.079273148;2.84529201;4.391656506;3.131454202;2.44139896;1.972808371;1.976074352;33.26417747;13.28523528;74.3;Tinggi
11;3511;bondowosokab;Bondowoso;13.78;0.817568896;6.512421313;3.976947947;4.36715948;7.507965617;4.017339529;4.646835121;3.051908592;3.002861671;1.96512259;1.8785692;29.52804961;14.95191779;71.22;Tinggi
12;3512;situbondokab;Situbondo;14.62;0.605467076;8.062924807;3.227212462;3.799123532;6.995515532;3.54818296;3.451527072;2.740832736;3.347576399;2.455971419;1.894637787;28.44564565;16.80572349;71.22;Tinggi
13;3513;probolinggokab;Probolinggo;15.53;1.059156645;7.071581256;3.685171229;4.600536999;6.535160338;3.652982119;3.794267254;3.47777313;3.480857117;2.628134824;2.456395321;26.74259699;15.2844303;70.85;Tinggi
14;3514;pasuruankab;Pasuruan;12.39;1.254365814;5.933237328;3.922705187;4.736343439;6.886121844;3.680502075;5.028793434;2.993630469;3.446837648;2.378352461;2.236643114;29.90756872;15.20444406;72.36;Tinggi
15;3515;sidoarjokab;Sidoarjo;8.68;0.911444759;6.989965501;6.731041973;6.715283519;6.798803327;2.682452597;5.127194971;2.552990833;2.573234386;2.521595143;2.192243446;33.94019545;11.58731275;82.67;Sangat Tinggi
16;3516;mojokertokab;Mojokerto;10.04;1.045460139;6.200142532;5.108974784;5.422977945;7.083191906;3.018865883;5.013502677;2.623860183;2.856049429;2.470915491;1.856432129;32.4375273;14.81994853;76.69;Tinggi
17;3517;jombangkab;Jombang;10.43;0.867733783;4.183824768;4.351474305;5.720134794;7.362763269;3.301937658;5.098062342;2.895703454;3.093850042;2.263858467;1.755012637;34.25088458;14.42594777;75.67;Tinggi
18;3518;nganjukkab;Nganjuk;13.49;1.10032652;3.590167939;4.014746715;5.376392181;9.663812057;4.076850823;4.796811186;3.660529657;3.650723745;2.698174036;1.868112207;29.34358883;12.6718185;75.24;Tinggi
19;3519;madiunkab;Madiun;11.97;1.297500487;4.06003067;4.261595158;6.07283928;9.657699631;4.147955142;5.40102068;4.003305204;3.941096276;2.666096891;2.023208279;28.33210113;12.16401979;74.81;Tinggi
20;3520;magetankab;Magetan;11.74;1.185339096;3.30799315;4.450074283;6.962936436;9.000670144;3.194529641;4.722209418;3.254097983;3.769293229;2.152083651;1.450028189;31.96497523;12.84566481;76.77;Tinggi
21;3521;ngawikab;Ngawi;12.29;1.186120817;4.192903455;3.564902184;5.146770306;9.508585736;3.422149143;4.962723519;3.173452419;3.747454175;2.019282872;2.242941759;30.9925447;13.54584353;73.91;Tinggi
22;3522;bojonegorokab;Bojonegoro;13.39;0.83980191;5.388630296;4.384486236;3.984789897;8.390917898;2.721282816;4.166715981;3.672505998;2.789927788;2.274414193;2.089613813;30.78371931;15.12657896;72.75;Tinggi
23;3523;tubankab;Tuban;11.92;0.816302612;7.754581813;4.977512123;3.869526363;7.785053986;2.440557289;5.191256831;2.805637352;2.591013639;2.697080239;1.981130693;31.03913037;14.13000483;72.31;Tinggi
24;3524;lamongankab;Lamongan;10.71;0.792301194;8.829175963;4.205072244;4.118828932;7.455240127;2.044521587;4.625186838;2.626697788;2.635227347;2.69872517;1.843873882;33.12880445;14.28877023;75.9;Tinggi
25;3525;gresikkab;Gresik;8.1;0.832962133;8.218086746;4.733299761;5.475429245;6.501338066;2.153001257;4.733416064;2.104502904;2.228365605;2.301985409;1.675693718;37.39339376;13.5467416;78.93;Tinggi
26;3526;bangkalankab;Bangkalan;14.38;1.317279362;9.784741613;4.960645637;3.86943402;7.624648498;2.578634622;3.817462152;2.947180378;2.496625781;2.577646564;2.30672097;25.95431614;15.38979889;67.33;Sedang
27;3527;sampangkab;Sampang;17.49;0.585445188;10.45077745;3.823476549;3.454148529;7.22830828;2.956158463;2.531376443;2.803605168;2.557021178;2.355808642;1.784829715;22.02816975;19.95116541;66.72;Sedang
28;3528;pamekasankab;Pamekasan;14;0.545516061;8.226127453;4.493292998;4.059029574;6.451060781;2.644986666;3.862197986;2.47820722;2.379492895;2.539903674;1.947219679;26.28308721;20.08637503;70.85;Tinggi
29;3529;sumenepkab;Sumenep;8.94;0.901340941;9.300299053;4.121366009;3.9576327;5.89259361;2.49001968;4.105876439;2.472059381;2.371614745;2.460846073;2.25416009;36.35782238;14.36985483;69.78;Sedang
30;3571;kedirikota;Kota Kediri;9.11;0.954622251;3.335414837;5.126626418;5.947896271;7.737065255;2.889253314;5.552653771;2.588407971;2.411723339;1.763490623;1.804342561;40.79022238;9.984213644;81.88;Sangat Tinggi
31;3572;blitarkota;Kota Blitar;8.38;0.752241987;3.383530039;3.115256851;6.188423296;7.364545424;2.229657721;5.891239527;2.312137909;2.800216546;1.661224675;1.705440858;43.81426936;10.40043989;81.44;Sangat Tinggi
32;3573;malangkota;Kota Malang;9.19;1.088924334;5.881537416;6.28238002;7.300504082;7.406435287;3.277406503;5.299656094;2.650837556;2.431706677;1.973389327;2.174618237;35.8377247;9.202016327;84.68;Sangat Tinggi
33;3574;probolinggokota;Kota Probolinggo;12.66;0.961148104;7.78824901;4.209100025;5.683612251;5.513242678;3.45284649;4.058335097;2.597008296;2.421780935;2.07982734;1.726423245;37.43411625;9.409882823;77.79;Tinggi
34;3575;pasuruankota;Kota Pasuruan;9.47;0.803858521;6.89335477;4.43113612;5.953778135;6.012191854;3.145230439;5.101822079;2.122454448;2.361200429;1.938772776;1.85704716;40.03845123;9.871516613;78.9;Tinggi
35;3576;mojokertokota;Kota Mojokerto;9.84;0.949682449;6.546464779;5.989868764;6.478877133;7.004236322;3.357820609;4.62235921;2.656650611;2.441862876;2.215326777;1.652234608;36.16381366;10.07968155;81.76;Sangat Tinggi
36;3577;madiunkota;Kota Madiun;7.62;0.954813462;4.635772558;5.651393121;7.7400106;6.994946149;2.874259431;5.825415003;2.385673184;2.179828131;1.76778312;1.448959891;42.14085953;7.778340368;84.51;Sangat Tinggi
37;3578;surabayakota;Kota Surabaya;7.65;0.978601266;7.283116598;6.897325922;6.666378553;6.928737294;2.388950786;5.016859896;2.40476188;2.357539414;2.264359371;1.975859623;36.89518615;10.29491905;84.69;Sangat Tinggi
38;3579;batukota;Kota Batu;9.57;1.437599699;4.368187256;4.673237549;4.852833658;7.641350585;3.302519054;5.440225097;2.677463665;2.857613657;2.223280752;1.770344071;35.44759172;13.73557138;79.69;Tinggi
