ID Pembeli,TotalVP_Monthly_2023-01,TotalVP_Monthly_2023-02,TotalVP_Monthly_2023-03,TotalVP_Monthly_2023-04,TotalVP_Monthly_2023-05,TotalVP_Monthly_2023-06,TotalVP_Monthly_2023-07,TotalVP_Monthly_2023-08,TotalVP_Monthly_2023-09,TotalVP_Monthly_2023-10,TotalVP_Monthly_2023-11,TotalVP_Monthly_2023-12,TotalVP_Monthly_2024-01,TotalVP_Monthly_2024-02,TotalVP_Monthly_2024-03,TotalVP_Monthly_2024-04,TotalVP_Monthly_2024-05,TotalVP_Monthly_2024-06,TotalVP_Monthly_2024-07,TotalVP_Monthly_2024-08,TotalVP_Monthly_2024-09,TotalVP_Monthly_2024-10,TotalVP_Monthly_2024-11,TotalVP_Monthly_2024-12,Item_Monthly_2023-01,Item_Monthly_2023-02,Item_Monthly_2023-03,Item_Monthly_2023-04,Item_Monthly_2023-05,Item_Monthly_2023-06,Item_Monthly_2023-07,Item_Monthly_2023-08,Item_Monthly_2023-09,Item_Monthly_2023-10,Item_Monthly_2023-11,Item_Monthly_2023-12,Item_Monthly_2024-01,Item_Monthly_2024-02,Item_Monthly_2024-03,Item_Monthly_2024-04,Item_Monthly_2024-05,Item_Monthly_2024-06,Item_Monthly_2024-07,Item_Monthly_2024-08,Item_Monthly_2024-09,Item_Monthly_2024-10,Item_Monthly_2024-11,Item_Monthly_2024-12,Total_Monthly_2023-01,Total_Monthly_2023-02,Total_Monthly_2023-03,Total_Monthly_2023-04,Total_Monthly_2023-05,Total_Monthly_2023-06,Total_Monthly_2023-07,Total_Monthly_2023-08,Total_Monthly_2023-09,Total_Monthly_2023-10,Total_Monthly_2023-11,Total_Monthly_2023-12,Total_Monthly_2024-01,Total_Monthly_2024-02,Total_Monthly_2024-03,Total_Monthly_2024-04,Total_Monthly_2024-05,Total_Monthly_2024-06,Total_Monthly_2024-07,Total_Monthly_2024-08,Total_Monthly_2024-09,Total_Monthly_2024-10,Total_Monthly_2024-11,Total_Monthly_2024-12,TotalVP_Quarterly_2023-Q1,TotalVP_Quarterly_2023-Q2,TotalVP_Quarterly_2023-Q3,TotalVP_Quarterly_2023-Q4,TotalVP_Quarterly_2024-Q1,TotalVP_Quarterly_2024-Q2,TotalVP_Quarterly_2024-Q3,TotalVP_Quarterly_2024-Q4,Item_Quarterly_2023-Q1,Item_Quarterly_2023-Q2,Item_Quarterly_2023-Q3,Item_Quarterly_2023-Q4,Item_Quarterly_2024-Q1,Item_Quarterly_2024-Q2,Item_Quarterly_2024-Q3,Item_Quarterly_2024-Q4,Total_Quarterly_2023-Q1,Total_Quarterly_2023-Q2,Total_Quarterly_2023-Q3,Total_Quarterly_2023-Q4,Total_Quarterly_2024-Q1,Total_Quarterly_2024-Q2,Total_Quarterly_2024-Q3,Total_Quarterly_2024-Q4,TotalVP_Semester_2023-S1,TotalVP_Semester_2023-S2,TotalVP_Semester_2024-S1,TotalVP_Semester_2024-S2,Item_Semester_2023-S1,Item_Semester_2023-S2,Item_Semester_2024-S1,Item_Semester_2024-S2,Total_Semester_2023-S1,Total_Semester_2023-S2,Total_Semester_2024-S1,Total_Semester_2024-S2,TotalVP_Yearly_2023,TotalVP_Yearly_2024,Item_Yearly_2023,Item_Yearly_2024,Total_Yearly_2023,Total_Yearly_2024,Total_Spending_Year,Purchase_Stability,Avg_Frequency_Monthly,Customer_Segment
4868037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30000,0,0,0,0,0,1,0,30000,0,30000,6123.724357,0.041666667,Churn Risk
1046672,23000,0,0,0,0,0,30000,0,0,0,0,0,0,30000,0,0,0,0,70000,105000,0,0,30000,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,1,0,77000,0,0,0,0,0,90000,0,0,0,0,0,0,90000,0,0,0,0,2.00E+05,3.00E+05,0,0,120000,0,23000,0,30000,0,30000,0,175000,30000,3,0,2,0,2,0,4,1,77000,0,90000,0,90000,0,5.00E+05,120000,23000,30000,30000,205000,3,2,2,5,77000,90000,90000,620000,53000,235000,5,7,167000,710000,877000,76465.95103,0.5,Regular Customers
287644,1238000,792000,588500,701000,578500,659500,682000,747000,927500,1087000,710500,839500,1283500,975500,1397000,688500,1081000,1180500,1357000,1624500,1013500,1099000,1052000,1491000,72,61,41,50,42,41,53,49,53,66,47,59,84,68,82,53,73,85,91,104,70,75,91,87,4284000,2719000,2034000,2480000,2062000,2313000,2372000,2538000,3252000,3653000,2427000,2879000,4277000,3271000,4767000,2447000,3573000,3980000,4640000,5356000,3272000,3817000,3590000,5068000,2618500,1939000,2356500,2637000,3656000,2950000,3995000,3642000,174,133,155,172,234,211,265,253,9037000,6855000,8162000,8959000,12315000,1.00E+07,13268000,12475000,4557500,4993500,6606000,7637000,307,327,445,518,15892000,17121000,22315000,25743000,9551000,14243000,634,963,33013000,48058000,81071000,985167.5417,66.54166667,Loyal Customers
385543,2878500,2898500,1425500,2836500,989000,821000,2036500,639000,568000,1345000,398000,443000,1163000,675500,2756500,2833500,403000,1029000,285000,1123000,157000,160000,2.00E+05,864000,234,155,102,246,69,48,140,43,52,87,26,25,94,60,258,259,31,78,14,68,13,10,10,53,13397250,10143000,5053250,14488000,3311000,2720000,6551000,2099000,2019000,4276000,1459000,1545000,4242250,3050000,18819000,18572000,1815000,4986000,904000,3405000,474000,5.00E+05,6.00E+05,2763000,7202500,4646500,3243500,2186000,4595000,4265500,1565000,1224000,491,363,235,138,412,368,95,73,28593500,20519000,10669000,7280000,26111250,25373000,4783000,3863000,11849000,5429500,8860500,2789000,854,373,780,168,49112500,17949000,51484250,8646000,17278500,11649500,1227,948,67061500,60130250,127191750,5562678.766,90.625,Loyal Customers
200247,1056000,685000,518500,638000,476500,130000,180000,365000,329000,306000,463000,312000,273500,223000,1120000,359000,0,93000,167500,0,172500,140000,308000,223000,75,35,36,39,42,12,17,23,26,32,34,20,28,16,112,34,0,10,17,0,20,12,32,16,3432000,2270000,1720000,2030000,1640000,430000,580000,1245000,1162000,970000,1610000,1025000,885000,820000,8400000,1388000,0,362000,565000,0,610000,420000,1022000,745000,2259500,1244500,874000,1081000,1616500,452000,340000,671000,146,93,66,86,156,44,37,60,7422000,4100000,2987000,3605000,10105000,1750000,1175000,2187000,3504000,1955000,2068500,1011000,239,152,200,97,11522000,6592000,11855000,3362000,5459000,3079500,391,297,18114000,15217000,33331000,1680531.101,28.66666667,Loyal Customers
4269115,8000,72000,40000,0,0,0,39000,0,61000,0,40000,65000,0,55000,0,95000,0,0,0,0,166000,0,0,0,1,4,2,0,0,0,2,0,4,0,2,3,0,3,0,4,0,0,0,0,9,0,0,0,30000,270000,150000,0,0,0,145000,0,215000,0,125000,240000,0,190000,0,330000,0,0,0,0,6.00E+05,0,0,0,120000,0,1.00E+05,105000,55000,95000,166000,0,7,0,6,5,3,4,9,0,450000,0,360000,365000,190000,330000,6.00E+05,0,120000,205000,150000,166000,7,11,7,9,450000,725000,520000,6.00E+05,325000,316000,18,16,1175000,1120000,2295000,150696.3006,1.416666667,Big Spenders
191350,74000,0,0,0,0,126000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245000,0,0,0,0,459000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74000,126000,0,0,0,0,0,0,4,7,0,0,0,0,0,0,245000,459000,0,0,0,0,0,0,2.00E+05,0,0,0,11,0,0,0,704000,0,0,0,2.00E+05,0,11,0,704000,0,704000,104268.7442,0.458333333,Regular Customers
320705,315000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315000,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1240000,0,0,0,0,0,0,0,315000,0,0,0,8,0,0,0,1240000,0,0,0,315000,0,8,0,1240000,0,1240000,253113.9401,0.333333333,Big Spenders
4419520,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60000,0,0,0,0,0,0,0,20000,0,0,0,1,0,0,0,60000,0,0,0,20000,0,1,0,60000,0,60000,12247.44871,0.041666667,Churn Risk
914159,20000,20000,0,20000,60000,30000,30000,40000,0,0,20000,20000,10000,20000,0,40000,0,10000,0,10000,0,10000,0,20000,2,3,0,2,2,3,3,4,0,0,2,2,1,2,0,4,0,1,0,1,0,1,0,2,60000,64000,0,60000,170000,90000,90000,120000,0,0,60000,60000,30000,60000,0,120000,0,30000,0,30000,0,30000,0,60000,40000,110000,70000,40000,30000,50000,10000,30000,5,7,7,4,3,5,1,3,124000,320000,210000,120000,90000,150000,30000,90000,150000,110000,80000,40000,12,11,8,4,444000,330000,240000,120000,260000,120000,23,12,774000,360000,1134000,46445.15232,1.458333333,Big Spenders
